component_slug,component_attachment,component_property,codes_used
date,qb:dimension,http://purl.org/linked-data/sdmx/2009/dimension#refPeriod,yes
flow,qb:dimension,http://gss-data.org.uk/def/dimension/flow,yes
gbp_total,qb:measure,http://gss-data.org.uk/def/measure/gbp-total,
geography,qb:dimension,http://purl.org/linked-data/sdmx/2009/dimension#refArea,yes
measure_type,qb:dimension,http://purl.org/linked-data/cube#measureType,yes
net_mass,qb:measure,http://gss-data.org.uk/def/measure/net-mass,
sitc_section,qb:dimension,http://gss-data.org.uk/def/dimension/sitc-section,yes
unit,qb:attribute,http://purl.org/linked-data/sdmx/2009/attribute#unitMeasure,yes
