Geography,Period,Cdid,Services,Flow,Measure Type,Value,Unit
K02000001,quarter/2016-Q1,FNLY,"Telecommunication, computer and information services",Balance,GBP Total,2508,£ million
K02000001,quarter/2016-Q2,FNLY,"Telecommunication, computer and information services",Balance,GBP Total,2318,£ million
K02000001,quarter/2016-Q3,FNLY,"Telecommunication, computer and information services",Balance,GBP Total,2487,£ million
K02000001,quarter/2016-Q4,FNLY,"Telecommunication, computer and information services",Balance,GBP Total,2308,£ million
K02000001,quarter/2017-Q1,FNLY,"Telecommunication, computer and information services",Balance,GBP Total,2383,£ million
K02000001,quarter/2017-Q2,FNLY,"Telecommunication, computer and information services",Balance,GBP Total,2474,£ million
K02000001,quarter/2017-Q3,FNLY,"Telecommunication, computer and information services",Balance,GBP Total,2543,£ million
K02000001,year/2015,FNMZ,Other business,Balance,GBP Total,24944,£ million
K02000001,year/2016,FNMZ,Other business,Balance,GBP Total,21563,£ million
K02000001,quarter/2015-Q3,FNMZ,Other business,Balance,GBP Total,5309,£ million
K02000001,quarter/2015-Q4,FNMZ,Other business,Balance,GBP Total,5270,£ million
K02000001,quarter/2016-Q1,FNMZ,Other business,Balance,GBP Total,4134,£ million
K02000001,quarter/2016-Q2,FNMZ,Other business,Balance,GBP Total,4817,£ million
K02000001,quarter/2016-Q3,FNMZ,Other business,Balance,GBP Total,4810,£ million
K02000001,quarter/2016-Q4,FNMZ,Other business,Balance,GBP Total,7802,£ million
K02000001,quarter/2017-Q1,FNMZ,Other business,Balance,GBP Total,7976,£ million
K02000001,quarter/2017-Q2,FNMZ,Other business,Balance,GBP Total,7513,£ million
K02000001,quarter/2017-Q3,FNMZ,Other business,Balance,GBP Total,8636,£ million
K02000001,year/2015,FNRB,"Personal, cultural and recreational services",Balance,GBP Total,-572,£ million
K02000001,year/2016,FNRB,"Personal, cultural and recreational services",Balance,GBP Total,136,£ million
K02000001,quarter/2015-Q3,FNRB,"Personal, cultural and recreational services",Balance,GBP Total,-82,£ million
K02000001,quarter/2015-Q4,FNRB,"Personal, cultural and recreational services",Balance,GBP Total,-273,£ million
K02000001,quarter/2016-Q1,FNRB,"Personal, cultural and recreational services",Balance,GBP Total,-35,£ million
K02000001,quarter/2016-Q2,FNRB,"Personal, cultural and recreational services",Balance,GBP Total,97,£ million
K02000001,quarter/2016-Q3,FNRB,"Personal, cultural and recreational services",Balance,GBP Total,105,£ million
K02000001,quarter/2016-Q4,FNRB,"Personal, cultural and recreational services",Balance,GBP Total,-31,£ million
K02000001,quarter/2017-Q1,FNRB,"Personal, cultural and recreational services",Balance,GBP Total,-202,£ million
K02000001,quarter/2017-Q2,FNRB,"Personal, cultural and recreational services",Balance,GBP Total,-202,£ million
K02000001,quarter/2017-Q3,FNRB,"Personal, cultural and recreational services",Balance,GBP Total,-238,£ million
K02000001,year/2015,FNRU,Government,Balance,GBP Total,-146,£ million
K02000001,year/2016,FNRU,Government,Balance,GBP Total,-597,£ million
K02000001,quarter/2015-Q3,FNRU,Government,Balance,GBP Total,97,£ million
K02000001,quarter/2015-Q4,FNRU,Government,Balance,GBP Total,-96,£ million
K02000001,quarter/2016-Q1,FNRU,Government,Balance,GBP Total,-93,£ million
K02000001,quarter/2016-Q2,FNRU,Government,Balance,GBP Total,-112,£ million
K02000001,quarter/2016-Q3,FNRU,Government,Balance,GBP Total,-163,£ million
K02000001,quarter/2016-Q4,FNRU,Government,Balance,GBP Total,-229,£ million
K02000001,quarter/2017-Q1,FNRU,Government,Balance,GBP Total,-440,£ million
K02000001,quarter/2017-Q2,FNRU,Government,Balance,GBP Total,-265,£ million
K02000001,quarter/2017-Q3,FNRU,Government,Balance,GBP Total,-367,£ million
K02000001,year/2015,IKBD,Total,Balance,GBP Total,86256,£ million
K02000001,year/2016,IKBD,Total,Balance,GBP Total,94818,£ million
K02000001,quarter/2015-Q3,IKBD,Total,Balance,GBP Total,20564,£ million
K02000001,quarter/2015-Q4,IKBD,Total,Balance,GBP Total,21551,£ million
K02000001,quarter/2016-Q1,IKBD,Total,Balance,GBP Total,22261,£ million
K02000001,quarter/2016-Q2,IKBD,Total,Balance,GBP Total,23008,£ million
K02000001,quarter/2016-Q3,IKBD,Total,Balance,GBP Total,23436,£ million
K02000001,quarter/2016-Q4,IKBD,Total,Balance,GBP Total,26113,£ million
K02000001,quarter/2017-Q1,IKBD,Total,Balance,GBP Total,25822,£ million
K02000001,quarter/2017-Q2,IKBD,Total,Balance,GBP Total,26179,£ million
K02000001,quarter/2017-Q3,IKBD,Total,Balance,GBP Total,27724,£ million
