Geography,Quarter,Gender,Measure Type,Unit,Value
S12000014,2017-Q2,Female,Count,People,36400
S12000017,2017-Q2,Male,Count,People,61400
S12000017,2017-Q2,All,Count,People,117500
S12000017,2017-Q2,Female,Count,People,56100
S12000018,2017-Q2,All,Count,People,36200
S12000018,2017-Q2,Female,Count,People,18500
S12000018,2017-Q2,Male,Count,People,17800
S12000019,2017-Q2,Female,Count,People,21600
S12000019,2017-Q2,Male,Count,People,22400
S12000019,2017-Q2,All,Count,People,44000
S12000020,2017-Q2,All,Count,People,44800
S12000020,2017-Q2,Male,Count,People,23900
S12000020,2017-Q2,Female,Count,People,20900
S12000021,2017-Q2,All,Count,People,54400
S12000021,2017-Q2,Male,Count,People,28100
S12000021,2017-Q2,Female,Count,People,26300
S12000023,2017-Q2,Female,Count,People,6000
S12000023,2017-Q2,Male,Count,People,6100
S12000023,2017-Q2,All,Count,People,12100
S12000026,2017-Q2,Female,Count,People,25600
S12000026,2017-Q2,Male,Count,People,27700
S12000026,2017-Q2,All,Count,People,53200
S12000027,2017-Q2,Male,Count,People,6400
S12000027,2017-Q2,Female,Count,People,6300
S12000027,2017-Q2,All,Count,People,12700
S12000028,2017-Q2,All,Count,People,49300
S12000028,2017-Q2,Female,Count,People,24200
S12000028,2017-Q2,Male,Count,People,25100
S12000029,2017-Q2,All,Count,People,155600
S12000029,2017-Q2,Female,Count,People,74000
S12000029,2017-Q2,Male,Count,People,81600
S12000030,2017-Q2,All,Count,People,44400
S12000030,2017-Q2,Female,Count,People,21800
S12000030,2017-Q2,Male,Count,People,22600
S12000033,2017-Q2,Male,Count,People,62900
S12000033,2017-Q2,All,Count,People,119900
S12000033,2017-Q2,Female,Count,People,57100
S12000034,2017-Q2,Male,Count,People,72600
S12000034,2017-Q2,Female,Count,People,61200
S12000034,2017-Q2,All,Count,People,133700
S12000035,2017-Q2,All,Count,People,41800
S12000035,2017-Q2,Female,Count,People,19800
S12000035,2017-Q2,Male,Count,People,22100
S12000036,2017-Q2,Female,Count,People,130600
S12000036,2017-Q2,All,Count,People,263900
S12000036,2017-Q2,Male,Count,People,133300
S12000038,2017-Q2,Female,Count,People,44300
S12000038,2017-Q2,Male,Count,People,42100
S12000038,2017-Q2,All,Count,People,86300
S12000041,2017-Q2,Male,Count,People,29000
S12000041,2017-Q2,All,Count,People,56000
S12000041,2017-Q2,Female,Count,People,26900
S12000042,2017-Q2,All,Count,People,63400
S12000042,2017-Q2,Female,Count,People,34900
S12000042,2017-Q2,Male,Count,People,28600
S12000044,2017-Q2,All,Count,People,164200
S12000044,2017-Q2,Male,Count,People,84100
S12000044,2017-Q2,Female,Count,People,80100
S12000045,2017-Q2,Male,Count,People,25900
S12000045,2017-Q2,All,Count,People,50700
S12000045,2017-Q2,Female,Count,People,24800
S12000046,2017-Q2,All,Count,People,282800
S12000046,2017-Q2,Male,Count,People,145000
S12000046,2017-Q2,Female,Count,People,137800
S12000047,2017-Q2,Male,Count,People,89500
S12000047,2017-Q2,All,Count,People,171400
S12000047,2017-Q2,Female,Count,People,81900
S12000048,2017-Q2,Male,Count,People,38700
S12000048,2017-Q2,Female,Count,People,34900
S12000048,2017-Q2,All,Count,People,73600
S12000039,2017-Q3,Male,Count,People,20100
S12000039,2017-Q3,All,Count,People,40900
S12000039,2017-Q3,Female,Count,People,20700
S12000040,2017-Q3,Female,Count,People,43000
S12000040,2017-Q3,Male,Count,People,46100
S12000040,2017-Q3,All,Count,People,89100
S12000005,2017-Q3,Female,Count,People,11200
S12000005,2017-Q3,Male,Count,People,12500
S12000005,2017-Q3,All,Count,People,23600
S12000006,2017-Q3,Female,Count,People,33300
S12000006,2017-Q3,Male,Count,People,36900
S12000006,2017-Q3,All,Count,People,70200
S12000008,2017-Q3,All,Count,People,55500
S12000008,2017-Q3,Female,Count,People,26700
