Date,Establishment,Value,Comparator,Attainment Distribution
2016,grp:240,200,comparator:virtual-comparator,distribution:lowest-20pc
2016,grp:240,910,comparator:virtual-comparator,distribution:middle-60pc
2016,grp:240,1858,comparator:virtual-comparator,distribution:highest-20pc
2016,grp:250,137,comparator:real-establishment,distribution:lowest-20pc
2016,grp:250,776,comparator:real-establishment,distribution:middle-60pc
2016,grp:250,1777,comparator:real-establishment,distribution:highest-20pc
2016,grp:250,157,comparator:virtual-comparator,distribution:lowest-20pc
2016,grp:250,807,comparator:virtual-comparator,distribution:middle-60pc
2016,grp:250,1815,comparator:virtual-comparator,distribution:highest-20pc
2016,grp:260,138,comparator:real-establishment,distribution:lowest-20pc
2016,grp:260,675,comparator:real-establishment,distribution:middle-60pc
2016,grp:260,1638,comparator:real-establishment,distribution:highest-20pc
2016,grp:260,131,comparator:virtual-comparator,distribution:lowest-20pc
2016,grp:260,671,comparator:virtual-comparator,distribution:middle-60pc
2016,grp:260,1641,comparator:virtual-comparator,distribution:highest-20pc
2016,grp:270,153,comparator:real-establishment,distribution:lowest-20pc
2016,grp:270,847,comparator:real-establishment,distribution:middle-60pc
2016,grp:270,1829,comparator:real-establishment,distribution:highest-20pc
2016,grp:270,177,comparator:virtual-comparator,distribution:lowest-20pc
2016,grp:270,854,comparator:virtual-comparator,distribution:middle-60pc
2016,grp:270,1818,comparator:virtual-comparator,distribution:highest-20pc
2016,grp:280,223,comparator:real-establishment,distribution:lowest-20pc
2016,grp:280,850,comparator:real-establishment,distribution:middle-60pc
2016,grp:280,1794,comparator:real-establishment,distribution:highest-20pc
2016,grp:280,233,comparator:virtual-comparator,distribution:lowest-20pc
2016,grp:280,885,comparator:virtual-comparator,distribution:middle-60pc
2016,grp:280,1798,comparator:virtual-comparator,distribution:highest-20pc
2016,grp:290,161,comparator:real-establishment,distribution:lowest-20pc
2016,grp:290,802,comparator:real-establishment,distribution:middle-60pc
2016,grp:290,1890,comparator:real-establishment,distribution:highest-20pc
2016,grp:290,144,comparator:virtual-comparator,distribution:lowest-20pc
2016,grp:290,771,comparator:virtual-comparator,distribution:middle-60pc
2016,grp:290,1805,comparator:virtual-comparator,distribution:highest-20pc
2016,grp:300,163,comparator:real-establishment,distribution:lowest-20pc
2016,grp:300,749,comparator:real-establishment,distribution:middle-60pc
2016,grp:300,1699,comparator:real-establishment,distribution:highest-20pc
2016,grp:300,160,comparator:virtual-comparator,distribution:lowest-20pc
2016,grp:300,757,comparator:virtual-comparator,distribution:middle-60pc
2016,grp:300,1773,comparator:virtual-comparator,distribution:highest-20pc
2016,grp:310,182,comparator:real-establishment,distribution:lowest-20pc
2016,grp:310,786,comparator:real-establishment,distribution:middle-60pc
2016,grp:310,1779,comparator:real-establishment,distribution:highest-20pc
2016,grp:310,135,comparator:virtual-comparator,distribution:lowest-20pc
2016,grp:310,787,comparator:virtual-comparator,distribution:middle-60pc
2016,grp:310,1771,comparator:virtual-comparator,distribution:highest-20pc
2016,grp:320,175,comparator:real-establishment,distribution:lowest-20pc
2016,grp:320,803,comparator:real-establishment,distribution:middle-60pc
2016,grp:320,1706,comparator:real-establishment,distribution:highest-20pc
2016,grp:320,180,comparator:virtual-comparator,distribution:lowest-20pc
2016,grp:320,818,comparator:virtual-comparator,distribution:middle-60pc
2016,grp:320,1780,comparator:virtual-comparator,distribution:highest-20pc
2016,grp:330,224,comparator:real-establishment,distribution:lowest-20pc
2016,grp:330,891,comparator:real-establishment,distribution:middle-60pc
2016,grp:330,1756,comparator:real-establishment,distribution:highest-20pc
2016,grp:330,177,comparator:virtual-comparator,distribution:lowest-20pc
2016,grp:330,900,comparator:virtual-comparator,distribution:middle-60pc
2016,grp:330,1859,comparator:virtual-comparator,distribution:highest-20pc
2016,grp:340,167,comparator:real-establishment,distribution:lowest-20pc
2016,grp:340,897,comparator:real-establishment,distribution:middle-60pc
2016,grp:340,1931,comparator:real-establishment,distribution:highest-20pc
2016,grp:340,170,comparator:virtual-comparator,distribution:lowest-20pc
2016,grp:340,834,comparator:virtual-comparator,distribution:middle-60pc
2016,grp:340,1824,comparator:virtual-comparator,distribution:highest-20pc
2016,grp:350,199,comparator:real-establishment,distribution:lowest-20pc
2016,grp:350,835,comparator:real-establishment,distribution:middle-60pc
2016,grp:350,1732,comparator:real-establishment,distribution:highest-20pc
2016,grp:350,210,comparator:virtual-comparator,distribution:lowest-20pc
2016,grp:350,909,comparator:virtual-comparator,distribution:middle-60pc
2016,grp:350,1846,comparator:virtual-comparator,distribution:highest-20pc
2016,grp:355,144,comparator:real-establishment,distribution:lowest-20pc
2016,grp:355,823,comparator:real-establishment,distribution:middle-60pc
2016,grp:355,1820,comparator:real-establishment,distribution:highest-20pc
2016,grp:355,168,comparator:virtual-comparator,distribution:lowest-20pc
2016,grp:355,836,comparator:virtual-comparator,distribution:middle-60pc
2016,grp:355,1818,comparator:virtual-comparator,distribution:highest-20pc
2016,grp:360,234,comparator:real-establishment,distribution:lowest-20pc
2016,grp:360,934,comparator:real-establishment,distribution:middle-60pc
2016,grp:360,1916,comparator:real-establishment,distribution:highest-20pc
2016,grp:360,160,comparator:virtual-comparator,distribution:lowest-20pc
2016,grp:360,831,comparator:virtual-comparator,distribution:middle-60pc
2016,grp:360,1814,comparator:virtual-comparator,distribution:highest-20pc
2016,grp:370,205,comparator:real-establishment,distribution:lowest-20pc
2016,grp:370,931,comparator:real-establishment,distribution:middle-60pc
2016,grp:370,1850,comparator:real-establishment,distribution:highest-20pc
2016,grp:370,165,comparator:virtual-comparator,distribution:lowest-20pc
2016,grp:370,867,comparator:virtual-comparator,distribution:middle-60pc
2016,grp:370,1835,comparator:virtual-comparator,distribution:highest-20pc
2016,grp:380,168,comparator:real-establishment,distribution:lowest-20pc
2016,grp:380,829,comparator:real-establishment,distribution:middle-60pc
2016,grp:380,1755,comparator:real-establishment,distribution:highest-20pc
2016,grp:380,180,comparator:virtual-comparator,distribution:lowest-20pc
2016,grp:380,863,comparator:virtual-comparator,distribution:middle-60pc
2016,grp:380,1833,comparator:virtual-comparator,distribution:highest-20pc
2016,grp:390,221,comparator:real-establishment,distribution:lowest-20pc
2016,grp:390,964,comparator:real-establishment,distribution:middle-60pc
2016,grp:390,1910,comparator:real-establishment,distribution:highest-20pc
2016,grp:390,210,comparator:virtual-comparator,distribution:lowest-20pc
