Time,EducationEstablishment,Unit,Measurement,Value,Comparator,Attainment Distribution
2016,220,Tariff Points,Average Total Tariff Score,1152,Virtual Comparator,Middle 60%
2016,220,Tariff Points,Average Total Tariff Score,1986,Virtual Comparator,Highest 20%
2016,230,Tariff Points,Average Total Tariff Score,161,Real Establishment,Lowest 20%
2016,230,Tariff Points,Average Total Tariff Score,884,Real Establishment,Middle 60%
2016,230,Tariff Points,Average Total Tariff Score,1951,Real Establishment,Highest 20%
2016,230,Tariff Points,Average Total Tariff Score,188,Virtual Comparator,Lowest 20%
2016,230,Tariff Points,Average Total Tariff Score,928,Virtual Comparator,Middle 60%
2016,230,Tariff Points,Average Total Tariff Score,1895,Virtual Comparator,Highest 20%
2016,235,Tariff Points,Average Total Tariff Score,260,Real Establishment,Lowest 20%
2016,235,Tariff Points,Average Total Tariff Score,1028,Real Establishment,Middle 60%
2016,235,Tariff Points,Average Total Tariff Score,1789,Real Establishment,Highest 20%
2016,235,Tariff Points,Average Total Tariff Score,180,Virtual Comparator,Lowest 20%
2016,235,Tariff Points,Average Total Tariff Score,824,Virtual Comparator,Middle 60%
2016,235,Tariff Points,Average Total Tariff Score,1770,Virtual Comparator,Highest 20%
2016,240,Tariff Points,Average Total Tariff Score,168,Real Establishment,Lowest 20%
2016,240,Tariff Points,Average Total Tariff Score,853,Real Establishment,Middle 60%
2016,240,Tariff Points,Average Total Tariff Score,1809,Real Establishment,Highest 20%
2016,240,Tariff Points,Average Total Tariff Score,200,Virtual Comparator,Lowest 20%
2016,240,Tariff Points,Average Total Tariff Score,910,Virtual Comparator,Middle 60%
2016,240,Tariff Points,Average Total Tariff Score,1858,Virtual Comparator,Highest 20%
2016,250,Tariff Points,Average Total Tariff Score,137,Real Establishment,Lowest 20%
2016,250,Tariff Points,Average Total Tariff Score,776,Real Establishment,Middle 60%
2016,250,Tariff Points,Average Total Tariff Score,1777,Real Establishment,Highest 20%
2016,250,Tariff Points,Average Total Tariff Score,157,Virtual Comparator,Lowest 20%
2016,250,Tariff Points,Average Total Tariff Score,807,Virtual Comparator,Middle 60%
2016,250,Tariff Points,Average Total Tariff Score,1815,Virtual Comparator,Highest 20%
2016,260,Tariff Points,Average Total Tariff Score,138,Real Establishment,Lowest 20%
2016,260,Tariff Points,Average Total Tariff Score,675,Real Establishment,Middle 60%
2016,260,Tariff Points,Average Total Tariff Score,1638,Real Establishment,Highest 20%
2016,260,Tariff Points,Average Total Tariff Score,131,Virtual Comparator,Lowest 20%
2016,260,Tariff Points,Average Total Tariff Score,671,Virtual Comparator,Middle 60%
2016,260,Tariff Points,Average Total Tariff Score,1641,Virtual Comparator,Highest 20%
2016,270,Tariff Points,Average Total Tariff Score,153,Real Establishment,Lowest 20%
2016,270,Tariff Points,Average Total Tariff Score,847,Real Establishment,Middle 60%
2016,270,Tariff Points,Average Total Tariff Score,1829,Real Establishment,Highest 20%
2016,270,Tariff Points,Average Total Tariff Score,177,Virtual Comparator,Lowest 20%
2016,270,Tariff Points,Average Total Tariff Score,854,Virtual Comparator,Middle 60%
2016,270,Tariff Points,Average Total Tariff Score,1818,Virtual Comparator,Highest 20%
2016,280,Tariff Points,Average Total Tariff Score,223,Real Establishment,Lowest 20%
2016,280,Tariff Points,Average Total Tariff Score,850,Real Establishment,Middle 60%
2016,280,Tariff Points,Average Total Tariff Score,1794,Real Establishment,Highest 20%
2016,280,Tariff Points,Average Total Tariff Score,233,Virtual Comparator,Lowest 20%
2016,280,Tariff Points,Average Total Tariff Score,885,Virtual Comparator,Middle 60%
2016,280,Tariff Points,Average Total Tariff Score,1798,Virtual Comparator,Highest 20%
2016,290,Tariff Points,Average Total Tariff Score,161,Real Establishment,Lowest 20%
2016,290,Tariff Points,Average Total Tariff Score,802,Real Establishment,Middle 60%
2016,290,Tariff Points,Average Total Tariff Score,1890,Real Establishment,Highest 20%
2016,290,Tariff Points,Average Total Tariff Score,144,Virtual Comparator,Lowest 20%
2016,290,Tariff Points,Average Total Tariff Score,771,Virtual Comparator,Middle 60%
2016,290,Tariff Points,Average Total Tariff Score,1805,Virtual Comparator,Highest 20%
2016,300,Tariff Points,Average Total Tariff Score,163,Real Establishment,Lowest 20%
2016,300,Tariff Points,Average Total Tariff Score,749,Real Establishment,Middle 60%
2016,300,Tariff Points,Average Total Tariff Score,1699,Real Establishment,Highest 20%
2016,300,Tariff Points,Average Total Tariff Score,160,Virtual Comparator,Lowest 20%
2016,300,Tariff Points,Average Total Tariff Score,757,Virtual Comparator,Middle 60%
2016,300,Tariff Points,Average Total Tariff Score,1773,Virtual Comparator,Highest 20%
2016,310,Tariff Points,Average Total Tariff Score,182,Real Establishment,Lowest 20%
2016,310,Tariff Points,Average Total Tariff Score,786,Real Establishment,Middle 60%
2016,310,Tariff Points,Average Total Tariff Score,1779,Real Establishment,Highest 20%
2016,310,Tariff Points,Average Total Tariff Score,135,Virtual Comparator,Lowest 20%
2016,310,Tariff Points,Average Total Tariff Score,787,Virtual Comparator,Middle 60%
2016,310,Tariff Points,Average Total Tariff Score,1771,Virtual Comparator,Highest 20%
2016,320,Tariff Points,Average Total Tariff Score,175,Real Establishment,Lowest 20%
2016,320,Tariff Points,Average Total Tariff Score,803,Real Establishment,Middle 60%
2016,320,Tariff Points,Average Total Tariff Score,1706,Real Establishment,Highest 20%
2016,320,Tariff Points,Average Total Tariff Score,180,Virtual Comparator,Lowest 20%
2016,320,Tariff Points,Average Total Tariff Score,818,Virtual Comparator,Middle 60%
2016,320,Tariff Points,Average Total Tariff Score,1780,Virtual Comparator,Highest 20%
2016,330,Tariff Points,Average Total Tariff Score,224,Real Establishment,Lowest 20%
2016,330,Tariff Points,Average Total Tariff Score,891,Real Establishment,Middle 60%
2016,330,Tariff Points,Average Total Tariff Score,1756,Real Establishment,Highest 20%
2016,330,Tariff Points,Average Total Tariff Score,177,Virtual Comparator,Lowest 20%
2016,330,Tariff Points,Average Total Tariff Score,900,Virtual Comparator,Middle 60%
2016,330,Tariff Points,Average Total Tariff Score,1859,Virtual Comparator,Highest 20%
2016,340,Tariff Points,Average Total Tariff Score,167,Real Establishment,Lowest 20%
2016,340,Tariff Points,Average Total Tariff Score,897,Real Establishment,Middle 60%
2016,340,Tariff Points,Average Total Tariff Score,1931,Real Establishment,Highest 20%
2016,340,Tariff Points,Average Total Tariff Score,170,Virtual Comparator,Lowest 20%
2016,340,Tariff Points,Average Total Tariff Score,834,Virtual Comparator,Middle 60%
2016,340,Tariff Points,Average Total Tariff Score,1824,Virtual Comparator,Highest 20%
2016,350,Tariff Points,Average Total Tariff Score,199,Real Establishment,Lowest 20%
2016,350,Tariff Points,Average Total Tariff Score,835,Real Establishment,Middle 60%
2016,350,Tariff Points,Average Total Tariff Score,1732,Real Establishment,Highest 20%
2016,350,Tariff Points,Average Total Tariff Score,210,Virtual Comparator,Lowest 20%
2016,350,Tariff Points,Average Total Tariff Score,909,Virtual Comparator,Middle 60%
2016,350,Tariff Points,Average Total Tariff Score,1846,Virtual Comparator,Highest 20%
2016,355,Tariff Points,Average Total Tariff Score,144,Real Establishment,Lowest 20%
2016,355,Tariff Points,Average Total Tariff Score,823,Real Establishment,Middle 60%
2016,355,Tariff Points,Average Total Tariff Score,1820,Real Establishment,Highest 20%
2016,355,Tariff Points,Average Total Tariff Score,168,Virtual Comparator,Lowest 20%
2016,355,Tariff Points,Average Total Tariff Score,836,Virtual Comparator,Middle 60%
2016,355,Tariff Points,Average Total Tariff Score,1818,Virtual Comparator,Highest 20%
2016,360,Tariff Points,Average Total Tariff Score,234,Real Establishment,Lowest 20%
2016,360,Tariff Points,Average Total Tariff Score,934,Real Establishment,Middle 60%
2016,360,Tariff Points,Average Total Tariff Score,1916,Real Establishment,Highest 20%
2016,360,Tariff Points,Average Total Tariff Score,160,Virtual Comparator,Lowest 20%
2016,360,Tariff Points,Average Total Tariff Score,831,Virtual Comparator,Middle 60%
2016,360,Tariff Points,Average Total Tariff Score,1814,Virtual Comparator,Highest 20%
2016,370,Tariff Points,Average Total Tariff Score,205,Real Establishment,Lowest 20%
2016,370,Tariff Points,Average Total Tariff Score,931,Real Establishment,Middle 60%
2016,370,Tariff Points,Average Total Tariff Score,1850,Real Establishment,Highest 20%
2016,370,Tariff Points,Average Total Tariff Score,165,Virtual Comparator,Lowest 20%
2016,370,Tariff Points,Average Total Tariff Score,867,Virtual Comparator,Middle 60%
2016,370,Tariff Points,Average Total Tariff Score,1835,Virtual Comparator,Highest 20%
2016,380,Tariff Points,Average Total Tariff Score,168,Real Establishment,Lowest 20%
2016,380,Tariff Points,Average Total Tariff Score,829,Real Establishment,Middle 60%
2016,380,Tariff Points,Average Total Tariff Score,1755,Real Establishment,Highest 20%
2016,380,Tariff Points,Average Total Tariff Score,180,Virtual Comparator,Lowest 20%
2016,380,Tariff Points,Average Total Tariff Score,863,Virtual Comparator,Middle 60%
2016,380,Tariff Points,Average Total Tariff Score,1833,Virtual Comparator,Highest 20%
2016,390,Tariff Points,Average Total Tariff Score,221,Real Establishment,Lowest 20%
2016,390,Tariff Points,Average Total Tariff Score,964,Real Establishment,Middle 60%
2016,390,Tariff Points,Average Total Tariff Score,1910,Real Establishment,Highest 20%
2016,390,Tariff Points,Average Total Tariff Score,210,Virtual Comparator,Lowest 20%
2016,390,Tariff Points,Average Total Tariff Score,992,Virtual Comparator,Middle 60%
2016,390,Tariff Points,Average Total Tariff Score,1904,Virtual Comparator,Highest 20%
2016,395,Tariff Points,Average Total Tariff Score,166,Real Establishment,Lowest 20%
2016,395,Tariff Points,Average Total Tariff Score,784,Real Establishment,Middle 60%
2016,395,Tariff Points,Average Total Tariff Score,1683,Real Establishment,Highest 20%
2016,395,Tariff Points,Average Total Tariff Score,163,Virtual Comparator,Lowest 20%
2016,395,Tariff Points,Average Total Tariff Score,768,Virtual Comparator,Middle 60%
2016,395,Tariff Points,Average Total Tariff Score,1726,Virtual Comparator,Highest 20%
2016,400,Tariff Points,Average Total Tariff Score,185,Real Establishment,Lowest 20%
2016,400,Tariff Points,Average Total Tariff Score,881,Real Establishment,Middle 60%
2016,400,Tariff Points,Average Total Tariff Score,1857,Real Establishment,Highest 20%
2016,400,Tariff Points,Average Total Tariff Score,155,Virtual Comparator,Lowest 20%
2016,400,Tariff Points,Average Total Tariff Score,810,Virtual Comparator,Middle 60%
2016,400,Tariff Points,Average Total Tariff Score,1809,Virtual Comparator,Highest 20%
2016,900,Tariff Points,Average Total Tariff Score,752,Real Establishment,Lowest 20%
2016,900,Tariff Points,Average Total Tariff Score,1626,Real Establishment,Middle 60%
2016,900,Tariff Points,Average Total Tariff Score,2151,Real Establishment,Highest 20%
2016,900,Tariff Points,Average Total Tariff Score,482,Virtual Comparator,Lowest 20%
2016,900,Tariff Points,Average Total Tariff Score,1262,Virtual Comparator,Middle 60%
2016,900,Tariff Points,Average Total Tariff Score,2027,Virtual Comparator,Highest 20%
2016,1002732,Tariff Points,Average Total Tariff Score,188,Real Establishment,Lowest 20%
2016,1002732,Tariff Points,Average Total Tariff Score,830,Real Establishment,Middle 60%
2016,1002732,Tariff Points,Average Total Tariff Score,1684,Real Establishment,Highest 20%
2016,1002732,Tariff Points,Average Total Tariff Score,185,Virtual Comparator,Lowest 20%
2016,1002732,Tariff Points,Average Total Tariff Score,839,Virtual Comparator,Middle 60%
2016,1002732,Tariff Points,Average Total Tariff Score,1795,Virtual Comparator,Highest 20%
2016,5102030,Tariff Points,Average Total Tariff Score,108,Real Establishment,Lowest 20%
2016,5102030,Tariff Points,Average Total Tariff Score,649,Real Establishment,Middle 60%
2016,5102030,Tariff Points,Average Total Tariff Score,1732,Real Establishment,Highest 20%
2016,5102030,Tariff Points,Average Total Tariff Score,176,Virtual Comparator,Lowest 20%
2016,5102030,Tariff Points,Average Total Tariff Score,835,Virtual Comparator,Middle 60%
2016,5102030,Tariff Points,Average Total Tariff Score,1812,Virtual Comparator,Highest 20%
2016,5102138,Tariff Points,Average Total Tariff Score,81,Real Establishment,Lowest 20%
2016,5102138,Tariff Points,Average Total Tariff Score,584,Real Establishment,Middle 60%
2016,5102138,Tariff Points,Average Total Tariff Score,1529,Real Establishment,Highest 20%
2016,5102138,Tariff Points,Average Total Tariff Score,138,Virtual Comparator,Lowest 20%
2016,5102138,Tariff Points,Average Total Tariff Score,664,Virtual Comparator,Middle 60%
2016,5102138,Tariff Points,Average Total Tariff Score,1626,Virtual Comparator,Highest 20%
2016,5109434,Tariff Points,Average Total Tariff Score,148,Real Establishment,Lowest 20%
2016,5109434,Tariff Points,Average Total Tariff Score,886,Real Establishment,Middle 60%
2016,5109434,Tariff Points,Average Total Tariff Score,1878,Real Establishment,Highest 20%
2016,5109434,Tariff Points,Average Total Tariff Score,187,Virtual Comparator,Lowest 20%
2016,5109434,Tariff Points,Average Total Tariff Score,833,Virtual Comparator,Middle 60%
2016,5109434,Tariff Points,Average Total Tariff Score,1717,Virtual Comparator,Highest 20%
2016,5109531,Tariff Points,Average Total Tariff Score,240,Real Establishment,Lowest 20%
2016,5109531,Tariff Points,Average Total Tariff Score,819,Real Establishment,Middle 60%
2016,5109531,Tariff Points,Average Total Tariff Score,1618,Real Establishment,Highest 20%
2016,5109531,Tariff Points,Average Total Tariff Score,285,Virtual Comparator,Lowest 20%
2016,5109531,Tariff Points,Average Total Tariff Score,1024,Virtual Comparator,Middle 60%
2016,5109531,Tariff Points,Average Total Tariff Score,1890,Virtual Comparator,Highest 20%
2016,5110432,Tariff Points,Average Total Tariff Score,566,Real Establishment,Middle 60%
2016,5110432,Tariff Points,Average Total Tariff Score,547,Virtual Comparator,Middle 60%
2016,5119030,Tariff Points,Average Total Tariff Score,342,Real Establishment,Lowest 20%
2016,5119030,Tariff Points,Average Total Tariff Score,845,Real Establishment,Middle 60%
2016,5119030,Tariff Points,Average Total Tariff Score,1665,Real Establishment,Highest 20%
2016,5119030,Tariff Points,Average Total Tariff Score,199,Virtual Comparator,Lowest 20%
2016,5119030,Tariff Points,Average Total Tariff Score,912,Virtual Comparator,Middle 60%
2016,5119030,Tariff Points,Average Total Tariff Score,1829,Virtual Comparator,Highest 20%
2016,5119138,Tariff Points,Average Total Tariff Score,198,Real Establishment,Lowest 20%
2016,5119138,Tariff Points,Average Total Tariff Score,790,Real Establishment,Middle 60%
