component_slug,component_attachment,component_property
gbp_total,qb:measure,http://gss-data.org.uk/def/measure/gbp-total
cdid,qb:attribute,http://gss-data.org.uk/def/attribute/cdid
unit,qb:attribute,http://purl.org/linked-data/sdmx/2009/attribute#unitMeasure
geography,qb:dimension,http://purl.org/linked-data/sdmx/2009/dimension#refArea
period,qb:dimension,http://purl.org/linked-data/sdmx/2009/dimension#refPeriod
services,qb:dimension,http://gss-data.org.uk/def/dimension/service
flow,qb:dimension,http://gss-data.org.uk/def/dimension/flow
measure_type,qb:dimension,http://purl.org/linked-data/cube#measureType
