Label,Description,Component Type,Codelist
Product,Good or service being traded,Dimension,https://trade.ec.europa.eu/def/cn#CN_2015
Trade Partner Geography,Location of the trade partner. Typically a foreign geography. The destination of exports or origin of imports.,Dimension,
