Label,Notation,Parent Notation
Australia,australia,
Chile,chile,
Falkland Islands,falkland-islands,
French Polynesia,french-polynesia,
Ghana,ghana,
Hong Kong,hong-kong,
Iran,iran,
Israel,israel,
Norway,norway,
Panama,panama,
Russia,russia,
Singapore,singapore,
South Africa,south-africa,
St Vincent,st-vincent,
Thailand,thailand,
Turkey,turkey,
Uruguay,uruguay,
